"일자","요일","도로명","링크아이디","시점명","종점명","방향","거리","차선수","기능유형구분","도심.외곽구분","권역구분","X18시"
20200801,"토","삼성로",1220029300,"포스코사거리","차관아파트","하행",746,3,"보조간선도로","외곽","강남구",23.98
20200801,"토","삼성로",1220031900,"차관아파트","청담공원앞","하행",698,3,"보조간선도로","외곽","강남구",23.39
20200801,"토","삼성로",1220034100,"청담공원앞","청담사거리","하행",650,3,"보조간선도로","외곽","강남구",21.36
20200801,"토","삼전로",1220024500,"탄천1교서측","탄천1교동측","상행",674,2,"보조간선도로","외곽","강남구",48.06
20200801,"토","선릉로",1220036400,"압구정한양아파트","압구정로데오역","상행",315,2,"기타도로","외곽","강남구",15.03
20200801,"토","선릉로",1220035400,"압구정로데오역","학동사거리","상행",535,3,"기타도로","외곽","강남구",14.67
20200801,"토","선릉로",1220033400,"학동사거리","강남구청역","상행",692,2,"기타도로","외곽","강남구",15.38
20200801,"토","선릉로",1220031000,"강남구청역","삼릉공원","상행",803,2,"기타도로","외곽","강남구",23.8
20200801,"토","선릉로",1220027600,"삼릉공원","선릉역","상행",809,2,"기타도로","외곽","강남구",24.56
20200801,"토","선릉로",1220025800,"선릉역","도성초교","상행",470,2,"기타도로","외곽","강남구",24.57
20200801,"토","선릉로",1220023100,"도성초교","한티역","상행",505,3,"기타도로","외곽","강남구",15.96
20200801,"토","선릉로",1220019200,"한티역","도곡역","상행",636,3,"기타도로","외곽","강남구",21.14
20200801,"토","선릉로",1220014000,"도곡역","영동4교","상행",441,2,"기타도로","외곽","강남구",31.32
20200801,"토","선릉로",1220011000,"영동4교","개포고교","상행",285,2,"기타도로","외곽","강남구",17.86
20200801,"토","선릉로",1220008600,"개포고교","개포시립도서관입구","상행",437,2,"기타도로","외곽","강남구",27.08
20200801,"토","선릉로",1220007400,"개포시립도서관입구","구룡마을입구","상행",417,2,"기타도로","외곽","강남구",18.86
20200801,"토","선릉로",1220007500,"구룡마을입구","개포시립도서관입구","하행",419,2,"기타도로","외곽","강남구",25.35
20200801,"토","선릉로",1220008700,"개포시립도서관입구","개포고교","하행",438,2,"기타도로","외곽","강남구",16.37
20200801,"토","선릉로",1220011100,"개포고교","영동4교","하행",283,2,"기타도로","외곽","강남구",33.34
20200801,"토","선릉로",1220014100,"영동4교","도곡역","하행",441,2,"기타도로","외곽","강남구",23.55
20200801,"토","선릉로",1220019300,"도곡역","한티역","하행",637,3,"기타도로","외곽","강남구",16.1
20200801,"토","선릉로",1220023200,"한티역","도성초교","하행",505,3,"기타도로","외곽","강남구",22.18
20200801,"토","선릉로",1220025900,"도성초교","선릉역","하행",470,2,"기타도로","외곽","강남구",18.65
20200801,"토","선릉로",1220027700,"선릉역","삼릉공원","하행",808,2,"기타도로","외곽","강남구",19.89
20200801,"토","선릉로",1220031100,"삼릉공원","강남구청역","하행",803,2,"기타도로","외곽","강남구",23.43
20200801,"토","선릉로",1220033500,"강남구청역","학동사거리","하행",690,2,"기타도로","외곽","강남구",20.89
20200801,"토","선릉로",1220035500,"학동사거리","압구정로데오역","하행",533,3,"기타도로","외곽","강남구",17.31
20200801,"토","선릉로",1220036500,"압구정로데오역","압구정한양아파트","하행",315,2,"기타도로","외곽","강남구",29.6
20200801,"토","압구정로",1220035900,"청담사거리","압구정로데오역","상행",769,3,"보조간선도로","외곽","강남구",20.68
20200801,"토","압구정로",1220036300,"압구정로데오역","성수대교남단교차로","상행",636,2,"보조간선도로","외곽","강남구",14.18
20200801,"토","압구정로",1220036000,"성수대교남단교차로","압구정역","상행",531,2,"보조간선도로","외곽","강남구",18.7
20200801,"토","압구정로",1220035000,"압구정역","한남IC동측","상행",968,2,"보조간선도로","외곽","강남구",16.35
20200801,"토","압구정로",1220035100,"한남IC동측","압구정역","하행",968,2,"보조간선도로","외곽","강남구",11.05
20200801,"토","압구정로",1220036100,"압구정역","성수대교남단교차로","하행",526,2,"보조간선도로","외곽","강남구",12.49
20200801,"토","압구정로",1220036200,"성수대교남단교차로","압구정로데오역","하행",631,2,"보조간선도로","외곽","강남구",18.06
20200801,"토","압구정로",1220035800,"압구정로데오역","청담사거리","하행",759,3,"보조간선도로","외곽","강남구",24.55
20200801,"토","양재대로",1220000200,"구룡사앞","구룡터널","상행",851,4,"주간선도로","외곽","강남구",31.46
20200801,"토","양재대로",1220000400,"구룡터널","구룡마을입구","상행",639,4,"주간선도로","외곽","강남구",27.41
20200801,"토","양재대로",1220000600,"구룡마을입구","개포3.4단지","상행",612,4,"주간선도로","외곽","강남구",27.44
20200801,"토","양재대로",1220000800,"개포3.4단지","일원터널","상행",617,4,"주간선도로","외곽","강남구",31.23
20200801,"토","양재대로",1220012900,"일원터널","삼성서울병원","상행",628,4,"주간선도로","외곽","강남구",27.31
20200801,"토","양재대로",1220014500,"삼성서울병원","일원1동주민센터앞","상행",612,4,"주간선도로","외곽","강남구",41.89
20200801,"토","양재대로",1220017100,"일원1동주민센터앞","수서IC","상행",809,3,"주간선도로","외곽","강남구",46.82
20200801,"토","양재대로",1220018900,"수서IC","탄천교","상행",606,3,"주간선도로","외곽","강남구",26.35
20200801,"토","양재대로",1220017000,"수서IC","일원1동주민센터앞","하행",811,4,"주간선도로","외곽","강남구",36.05
20200801,"토","양재대로",1220014400,"일원1동주민센터앞","삼성서울병원","하행",612,4,"주간선도로","외곽","강남구",31.9
20200801,"토","양재대로",1220012800,"삼성서울병원","일원터널","하행",632,4,"주간선도로","외곽","강남구",42.67
20200801,"토","양재대로",1220000700,"일원터널","개포3.4단지","하행",618,4,"주간선도로","외곽","강남구",28.07
20200801,"토","양재대로",1220000500,"개포3.4단지","구룡마을입구","하행",610,4,"주간선도로","외곽","강남구",34.51
20200801,"토","양재대로",1220000300,"구룡마을입구","구룡터널","하행",638,4,"주간선도로","외곽","강남구",30.94
20200801,"토","양재대로",1220000100,"구룡터널","구룡사앞","하행",852,4,"주간선도로","외곽","강남구",36.25
20200801,"토","양재대로",1210002700,"구룡사앞","염곡사거리","하행",957,4,"주간선도로","외곽","강남구",13.25
20200801,"토","양재대로55길",1220017500,"일원1동주민센터앞","대청초교","상행",330,1,"기타도로","외곽","강남구",20.38
20200801,"토","양재대로55길",1220017400,"대청초교","일원1동주민센터앞","하행",330,2,"기타도로","외곽","강남구",15.86
20200801,"토","양재천로",1220007900,"영동2교북단","강남수도사업소","상행",477,1,"기타도로","외곽","강남구",27.2
20200801,"토","양재천로",1220009900,"강남수도사업소","영동3교","상행",568,1,"기타도로","외곽","강남구",28.13
20200801,"토","양재천로",1220011700,"영동3교","대지초교","상행",916,1,"기타도로","외곽","강남구",28.76
20200801,"토","양재천로",1220016900,"대지초교","영동6교","상행",986,1,"기타도로","외곽","강남구",26.95
20200801,"토","양재천로",1220016800,"영동6교","영동5교","하행",778,1,"기타도로","외곽","강남구",30.77
20200801,"토","양재천로",1220015200,"영동5교","대지초교","하행",209,1,"기타도로","외곽","강남구",26.4
20200801,"토","양재천로",1220011600,"대지초교","영동3교","하행",917,1,"기타도로","외곽","강남구",26.73
20200801,"토","양재천로",1220009800,"영동3교","강남수도사업소","하행",569,1,"기타도로","외곽","강남구",26
20200801,"토","양재천로",1220007800,"강남수도사업소","영동2교북단","하행",481,1,"기타도로","외곽","강남구",27.63
